country,iso3,year,under_sanctions,scope,stated_justification,legal_authority,layer1_ofac_events,layer2_multilateral,layer3_agency_actions,layer4_kinetic,eiii_score,polity,friction,degradation,resource_density,fiscal_pressure,gdp_pc_log,trend,vdem_electoral,vdem_elections,eiii_equal,eiii_rawcount,eiii_financial
Afghanistan,AFG,1999,1,targeted,terrorism,IEEPA,4,0,0,0,4,-7.0,3.587,0,,2.386,,54,0.073,0.0,1,4,4
Afghanistan,AFG,2000,1,targeted,terrorism,IEEPA,0,1,0,0,1,-7.0,3.4909,0,,2.175,5.164,55,0.073,0.0,1,1,1
Afghanistan,AFG,2001,1,targeted,terrorism,IEEPA,0,113,0,154,267,-7.0,3.1296,0,,1.948,4.932,56,0.083,0.0,2,70,113
Afghanistan,AFG,2002,1,targeted,terrorism,IEEPA,0,3,0,69,72,-7.0,3.4355,0,1.28,1.564,5.187,57,0.218,0.0,2,23,3
Afghanistan,AFG,2003,1,targeted,terrorism,IEEPA,0,0,0,11,11,-7.0,3.2829,0,0.73,1.336,5.293,58,0.224,0.0,1,11,0
Afghanistan,AFG,2004,1,targeted,terrorism,IEEPA,0,3,0,10,13,-7.0,3.5228,0,0.46,1.312,5.402,59,0.235,0.051,2,13,3
Afghanistan,AFG,2005,1,targeted,terrorism,IEEPA,0,0,0,9,9,-7.0,3.3673,0,0.39,1.411,5.538,60,0.311,0.209,1,9,0
Afghanistan,AFG,2006,1,targeted,terrorism,IEEPA,0,1027,0,11,1038,-7.0,3.4996,0,0.5,1.64,5.614,61,0.364,0.211,2,61,1027
Afghanistan,AFG,2007,1,targeted,terrorism,IEEPA,0,51,0,21,72,-7.0,3.1352,0,0.45,1.638,5.93,62,0.364,0.211,2,70,51
Afghanistan,AFG,2008,1,targeted,terrorism,IEEPA,0,52,0,22,74,-7.0,3.1301,0,0.6,1.711,5.945,63,0.368,0.211,2,70,52
