spec,equation,variable,mean,sd,hdi_lo,hdi_hi,p_dir,p_positive,p_negative
Spec1_Diffuse,count,resource,0.3118357900364648,0.17944977563782533,-0.04715677791337012,0.651046316669664,0.96425,0.96425,0.03575
Spec1_Diffuse,count,friction,-0.4296036041983839,0.2139852776216127,-0.8531466663814391,-0.023706828010602494,0.97775,0.02225,0.97775
Spec1_Diffuse,count,degradation,-1.0155495768283571,0.41930993583350934,-1.8257649157490137,-0.19665034652086047,0.99275,0.00725,0.99275
Spec1_Diffuse,count,fiscal,-1.0742634256626866,0.25043090543470903,-1.551982275344973,-0.5692895945142568,1.0,0.0,1.0
Spec1_Diffuse,count,trend,-0.32011164735772923,0.27980663182211646,-0.8590274995725528,0.23099415240812748,0.87525,0.12475,0.87525
Spec1_Diffuse,count,regime,0.3581380064089769,0.21753980221876643,-0.07017404174505532,0.7846148864678828,0.9475,0.9475,0.0525
Spec1_Diffuse,count,gdp_pc,-0.6576989789543757,0.13964952274920583,-0.9269093059819505,-0.3813469184559422,1.0,0.0,1.0
Spec1_Diffuse,count,friction_x_fiscal,0.05180116720855078,0.1806956604148715,-0.2822555002260837,0.4233251093330609,0.61025,0.61025,0.38975
Spec1_Diffuse,inflate,regime,0.35904551210894853,0.7776305478902253,-1.083612634846874,1.9819950838253966,0.65275,0.65275,0.34725
Spec1_Diffuse,inflate,friction,-0.6604245543636671,0.42956662697705317,-1.523370648808648,0.14221995698614615,0.94675,0.05325,0.94675
Spec1_Diffuse,inflate,resource,-0.23067560379932348,0.4361901030020869,-1.1752008344445233,0.5740517320394041,0.742,0.258,0.742
Spec1_Diffuse,inflate,degradation,0.3057157019758443,1.0465866340104002,-1.5632465066403558,2.5057979051646924,0.59275,0.59275,0.40725
Spec1_Diffuse,inflate,trend,3.034314722067036,0.9035071296013247,1.439310771466122,4.810306230881523,1.0,1.0,0.0
Spec2_Sequential,count,resource,0.31272113526673684,0.18157271881211176,-0.04698872370980529,0.6650888306261497,0.9615,0.9615,0.0385
Spec2_Sequential,count,friction,-0.43042221136211833,0.21253939393226626,-0.8327738241540943,-0.01329234050856712,0.97975,0.02025,0.97975
Spec2_Sequential,count,degradation,-1.025408226418504,0.42323245358209355,-1.8629151798520862,-0.21359328828657934,0.99275,0.00725,0.99275
Spec2_Sequential,count,fiscal,-1.0715521353246855,0.2571372997252898,-1.572060078157928,-0.5758450037404951,0.99975,0.00025,0.99975
Spec2_Sequential,count,trend,-0.32156422690482883,0.288165293431805,-0.8810905710681703,0.24341460308553756,0.87575,0.12425,0.87575
Spec2_Sequential,count,regime,0.3629535164020933,0.2162524566250631,-0.05856126891887896,0.7825539960426731,0.95125,0.95125,0.04875
Spec2_Sequential,count,gdp_pc,-0.6573585078296212,0.14373627802866715,-0.9496708080207413,-0.3774409567237368,1.0,0.0,1.0
Spec2_Sequential,count,friction_x_fiscal,0.0422524327430098,0.18124400486678824,-0.29419781257828853,0.40559962812536793,0.60175,0.60175,0.39825
Spec2_Sequential,inflate,regime,0.33622341006331774,0.7661740068936066,-0.9757887637073316,2.0021304824572015,0.65225,0.65225,0.34775
Spec2_Sequential,inflate,friction,-0.6548262412322188,0.41535362492094996,-1.47717205853815,0.13503134435214084,0.94675,0.05325,0.94675
Spec2_Sequential,inflate,resource,-0.2350459844856635,0.4158093537112779,-1.0182869326119837,0.6133669359806824,0.73325,0.26675,0.73325
Spec2_Sequential,inflate,degradation,0.30274678609442696,1.0098498774140887,-1.4922659810739005,2.435909555611618,0.59475,0.59475,0.40525
Spec2_Sequential,inflate,trend,3.0244250558304846,0.8681997953771039,1.446396586609662,4.757391865501256,1.0,1.0,0.0
Spec3_Skeptical,count,resource,0.3054245470127852,0.17718676284371462,-0.04877759472205507,0.6346611821483794,0.96325,0.96325,0.03675
Spec3_Skeptical,count,friction,-0.43628511021859123,0.2118518391352135,-0.8244973868941603,0.008199272995303375,0.9785,0.0215,0.9785
Spec3_Skeptical,count,degradation,-0.9814759884800321,0.408977849745747,-1.7431699620615422,-0.14550040947318563,0.99225,0.00775,0.99225
Spec3_Skeptical,count,fiscal,-1.053416344714678,0.2555823151420883,-1.53998963724494,-0.5407689028588992,1.0,0.0,1.0
Spec3_Skeptical,count,trend,-0.32586186305552567,0.27966658897463553,-0.884549727061546,0.2099188954431273,0.877,0.123,0.877
Spec3_Skeptical,count,regime,0.3531368707779219,0.21868213926228156,-0.0814812577051236,0.7623636769431239,0.95075,0.95075,0.04925
Spec3_Skeptical,count,gdp_pc,-0.6628708166617434,0.14296837578702154,-0.9579924006720615,-0.39576927039148735,1.0,0.0,1.0
Spec3_Skeptical,count,friction_x_fiscal,0.036546944978984,0.17176834827610105,-0.2950038863282567,0.3777886049104994,0.586,0.586,0.414
Spec3_Skeptical,inflate,regime,0.4692094791741872,0.6868480207546541,-0.8153212676096848,1.8361553732015674,0.74675,0.74675,0.25325
Spec3_Skeptical,inflate,friction,-0.5416792891351042,0.3709372583388428,-1.2626256709471428,0.16851290170484157,0.927,0.073,0.927
Spec3_Skeptical,inflate,resource,-0.14665858102306845,0.34079644031558864,-0.8349420050647849,0.48962532684950033,0.70025,0.29975,0.70025
Spec3_Skeptical,inflate,degradation,0.009942888545452453,0.7728841040020629,-1.496273459818522,1.4940016727474759,0.5135,0.4865,0.5135
Spec3_Skeptical,inflate,trend,2.498143965713711,0.6120328592155163,1.3430280671551822,3.720901903998037,1.0,1.0,0.0
Spec4_Restrictive,count,resource,0.2838478830588723,0.1688328816045537,-0.050623742606187364,0.6204425364084225,0.954,0.954,0.046
Spec4_Restrictive,count,friction,-0.4280519496483303,0.21164692306804764,-0.8408301842076713,-0.03092902627326304,0.98125,0.01875,0.98125
Spec4_Restrictive,count,degradation,-0.9167951160518396,0.3905315920470228,-1.6963669660320444,-0.15434298051094064,0.98675,0.01325,0.98675
Spec4_Restrictive,count,fiscal,-1.0265235730083606,0.24628963706577564,-1.48128655370192,-0.5295024480629622,1.0,0.0,1.0
Spec4_Restrictive,count,trend,-0.3322472781764115,0.26624896820060423,-0.8403516187819433,0.20281572807106613,0.892,0.108,0.892
Spec4_Restrictive,count,regime,0.3614876438781206,0.20553815863320365,-0.029752489225709923,0.7779406119864017,0.96125,0.96125,0.03875
Spec4_Restrictive,count,gdp_pc,-0.6554479564905091,0.1402342247445307,-0.9143404529093797,-0.36382772368592775,1.0,0.0,1.0
Spec4_Restrictive,count,friction_x_fiscal,0.030099985260239426,0.1828966649158589,-0.31437526175829844,0.39901877113985973,0.572,0.572,0.428
Spec4_Restrictive,inflate,regime,0.510057435471984,0.5370886134856158,-0.5351741542503626,1.567288115088938,0.83425,0.83425,0.16575
Spec4_Restrictive,inflate,friction,-0.4277105045899231,0.3325690886554812,-1.0760015935948988,0.19574089942044345,0.896,0.104,0.896
Spec4_Restrictive,inflate,resource,-0.09270412147024958,0.2804962207486567,-0.6777685149888448,0.4277985180607011,0.66675,0.33325,0.66675
Spec4_Restrictive,inflate,degradation,-0.031609773724303514,0.5907849683976265,-1.207896946143854,1.074705752467971,0.52675,0.47325,0.52675
Spec4_Restrictive,inflate,trend,2.1072094777580395,0.44678612927638534,1.3141336764907596,3.0701886156519875,1.0,1.0,0.0
VDem_Elections,count,resource,0.3235294438821639,0.15577524751301206,0.014309257919908988,0.6255208852350647,0.98425,0.98425,0.01575
VDem_Elections,count,friction,-0.5355319543667416,0.17266053749869348,-0.8947658568554415,-0.23097046634467155,0.999,0.001,0.999
VDem_Elections,count,degradation,-0.7610999428842485,0.41743705339333165,-1.650794863144776,-0.018727922443402645,0.969,0.031,0.969
VDem_Elections,count,fiscal,-0.9229620690170401,0.2691577774098447,-1.456416351299813,-0.41212910122059654,0.9995,0.0005,0.9995
VDem_Elections,count,trend,-0.19049132484761822,0.26521019543686697,-0.7349827714035211,0.3050185074117681,0.76275,0.23725,0.76275
VDem_Elections,count,regime,0.6260600338108019,0.2054091627675271,0.23130361280075623,1.0313444547601407,0.99875,0.99875,0.00125
VDem_Elections,count,gdp_pc,-0.8748467015135643,0.1510539759777841,-1.188534988636737,-0.5945741543241796,1.0,0.0,1.0
VDem_Elections,count,friction_x_fiscal,-0.037685001295074044,0.1906716582032369,-0.4176605734254946,0.32381363056127405,0.578,0.422,0.578
VDem_Elections,inflate,regime,0.16029869891028786,0.598497282197295,-0.8392973715195027,1.1135152186301198,0.59425,0.59425,0.40575
VDem_Elections,inflate,friction,-0.6786987170619935,0.36314847555861807,-1.4373572095836384,-0.01318637499439942,0.9755,0.0245,0.9755
VDem_Elections,inflate,resource,-0.17529727652814472,0.41104515535766045,-0.901897300867776,0.7053923955062513,0.69175,0.30825,0.69175
VDem_Elections,inflate,degradation,0.044275243219720185,0.9485244206302691,-1.600472405254058,2.1010659043681406,0.51175,0.48825,0.51175
VDem_Elections,inflate,trend,3.0478645888220193,0.8202161339339553,1.6629024631158207,4.802991680169703,1.0,1.0,0.0
