country,iso3,year,under_sanctions,scope,stated_justification,legal_authority,layer1_ofac_events,layer2_multilateral,layer3_agency_actions,layer4_kinetic,eiii_score,polity,friction,degradation,resource_density,fiscal_pressure,gdp_pc_log,trend,vdem_electoral,vdem_elections,eiii_equal,eiii_rawcount,eiii_financial,friction_z,resource_density_z,fiscal_pressure_z,gdp_pc_log_z,trend_z,regime_z,fric_x_fiscal
Afghanistan,AFG,2002,1,targeted,terrorism,IEEPA,0,3,0,69,72,-7.0,3.4355,0,1.28,1.564,5.187,57,0.218,0.0,2,23,3,-0.03968099537141271,-0.7532313911197263,-0.41637381299049764,-1.7020703358686058,-0.22070931188247725,-0.11457549159847931,0.0165221273460534
Afghanistan,AFG,2003,1,targeted,terrorism,IEEPA,0,0,0,11,11,-7.0,3.2829,0,0.73,1.336,5.293,58,0.224,0.0,1,11,0,-0.2581931832018375,-0.7926432910345464,-0.7708841483707056,-1.614051776630582,-0.13933130922422401,-0.07521469022528592,0.19903703214767007
Afghanistan,AFG,2004,1,targeted,terrorism,IEEPA,0,3,0,10,13,-7.0,3.5228,0,0.46,1.312,5.402,59,0.235,0.051,2,13,3,0.08532630474389569,-0.8119909509927309,-0.8082010257791487,-1.523542126093369,-0.05795330656597079,-0.003053221041098185,-0.06896080701996073
Afghanistan,AFG,2005,1,targeted,terrorism,IEEPA,0,0,0,9,9,-7.0,3.3673,0,0.39,1.411,5.538,60,0.311,0.209,1,9,0,-0.13733847381200887,-0.8170070109818898,-0.6542689064693215,-1.4106126538634516,0.023424696092282447,0.4955169296860179,0.08985629307714858
Afghanistan,AFG,2006,1,targeted,terrorism,IEEPA,0,1027,0,11,1038,-7.0,3.4996,0,0.5,1.64,5.614,61,0.364,0.211,2,61,1027,0.052105578940056387,-0.8091246309989258,-0.29820370119709516,-1.3475050076173216,0.10480269875053569,0.8432040084825593,-0.015538076492942228
Afghanistan,AFG,2007,1,targeted,terrorism,IEEPA,0,51,0,21,72,-7.0,3.1352,0,0.45,1.638,5.93,62,0.364,0.211,2,70,51,-0.46968892463403744,-0.8127075309911822,-0.3013134409811321,-1.0851100574360435,0.18618070140878892,0.8432040084825593,0.14152358607220944
Afghanistan,AFG,2008,1,targeted,terrorism,IEEPA,0,52,0,22,74,-7.0,3.1301,0,0.6,1.711,5.945,63,0.368,0.211,2,70,52,-0.47699175659953674,-0.8019588310144131,-0.1878079388637845,-1.0726546009400961,0.2675587040670422,0.8694445427313549,0.08958283866197497
Afghanistan,AFG,2009,1,targeted,terrorism,IEEPA,0,54,0,8,62,-7.0,3.1223,0,0.42,1.291,6.114,64,0.361,0.189,2,58,54,-0.4881607937232413,-0.814857270986536,-0.8408532935115364,-0.9323231244190965,0.3489367067252954,0.8235236077959626,0.41047161116539316
Afghanistan,AFG,2010,1,targeted,terrorism,IEEPA,0,19,0,7,26,-7.0,3.0221,0,0.63,1.304,6.329,65,0.347,0.152,2,26,19,-0.6316399629277536,-0.7998090910190592,-0.8206399849152963,-0.7537949146438597,0.43031470938354865,0.731681737925178,0.51834900964893
Afghanistan,AFG,2011,1,targeted,terrorism,IEEPA,0,194,0,13,207,-7.0,3.0122,0,0.84,1.474,6.408,66,0.346,0.155,2,63,194,-0.6458160485078401,-0.7847609110515824,-0.5563121032721589,-0.6881961770985396,0.5116927120418019,0.725121604362979,0.3592752842723111
Afghanistan,AFG,2012,1,targeted,terrorism,IEEPA,0,80,0,13,93,-7.0,3.0095,0,0.68,1.356,6.479,67,0.35,0.153,2,63,80,-0.6496822536660454,-0.7962261910268028,-0.7397867505303365,-0.6292403496843918,0.5930707147000551,0.7513621386117747,0.4806263233168295
Afghanistan,AFG,2013,1,targeted,terrorism,IEEPA,0,28,0,12,40,-7.0,3.0611,0,0.6,1.309,6.457,68,0.345,0.16,2,40,28,-0.5757947773092307,-0.8019588310144131,-0.8128656354552042,-0.647508352545114,0.6744487173583084,0.7185614708007801,0.4680437875492556
Afghanistan,AFG,2014,1,targeted,terrorism,IEEPA,0,5,0,10,15,-1.0,3.2212,0,0.54,1.3,6.438,69,0.35,0.181,2,15,5,-0.3465431307060133,-0.8062583110051207,-0.8268594644833701,-0.6632852641066466,0.7558267200165616,0.7513621386117747,0.2865424674759647
Afghanistan,AFG,2015,1,targeted,terrorism,IEEPA,0,4,0,14,18,-1.0,3.2561,0,0.47,1.22,6.338,70,0.348,0.188,2,18,4,-0.2965688492166174,-0.8112743709942796,-0.9512490558448468,-0.7463216407462914,0.8372047226748148,0.7382418714873769,0.28211083781030005
Afghanistan,AFG,2016,1,targeted,terrorism,IEEPA,0,1209,0,23,1232,-1.0,3.1878,0,0.62,1.276,6.258,71,0.34,0.172,2,70,1209,-0.39436952044085044,-0.8005256710175106,-0.8641763418918131,-0.8127507420580075,0.9185827253330681,0.685760802989786,0.34080480952820275
Afghanistan,AFG,2017,1,targeted,terrorism,IEEPA,0,64,0,24,88,-1.0,3.2404,0,0.7,1.339,6.264,72,0.334,0.155,2,70,64,-0.3190501162476635,-0.7947930310299003,-0.7662195386946504,-0.8077685594596286,0.9999607279913213,0.6464000016165926,0.2444624328917593
Afghanistan,AFG,2018,1,targeted,terrorism,IEEPA,0,64,0,17,81,-1.0,3.3177,0,0.86,1.573,6.197,73,0.33,0.151,2,67,64,-0.20836209449607918,-0.7833277510546799,-0.40237998396233166,-0.8634029318081909,1.0813387306495745,0.620159467367797,0.08384073624169017
Afghanistan,AFG,2019,1,targeted,terrorism,IEEPA,0,48,0,18,66,-1.0,3.4628,0,0.68,1.742,6.208,74,0.329,0.134,2,66,48,-0.0005893654384469949,-0.7962261910268028,-0.1396069722112125,-0.8542689303778298,1.1627167333078277,0.6135993338055982,8.227952438751868e-05
Afghanistan,AFG,2020,1,targeted,terrorism,IEEPA,0,349,0,11,360,-1.0,3.0695,0,0.31,1.616,6.236,75,0.336,0.174,2,61,349,-0.5637665834837027,-0.8227396509695,-0.3355205786055378,-0.8310187449187296,1.244094735966081,0.6595202687409905,0.18915529028891914
Afghanistan,AFG,2021,1,targeted,terrorism,IEEPA,0,1,0,8,9,-1.0,3.0779,0,0.43,1.485,5.876,76,0.144,0.067,2,9,1,-0.5517383896581748,-0.8141406909880847,-0.5392085344599556,-1.1299497008214512,1.3254727386243341,-0.6000253752011976,0.29750204849288037
Angola,AGO,1993,1,targeted,democracy,IEEPA,4,0,0,0,4,-1.0,3.7239,1,36.66,2.897,6.109,48,0.155,0.0,1,4,4,0.3732869926383804,1.7820286434008894,1.6562677530701044,-0.9364749432510786,-0.9531113358067564,-0.5278639060170097,0.6182632085474669
Angola,AGO,1994,1,targeted,democracy,IEEPA,0,0,0,0,0,-2.0,3.5667,1,43.64,2.785,5.814,49,0.155,0.0,0,0,0,0.14818793676064276,2.2822014823198806,1.4821223251640379,-1.1814322543380313,-0.8717333331485031,-0.5278639060170097,0.21963264939294525
Angola,AGO,1995,1,targeted,democracy,IEEPA,0,0,0,0,0,-3.0,3.5654,1,44.21,3.039,6.002,50,0.155,0.0,0,0,0,0.14632643057335856,2.3230465422316033,1.8770592777367257,-1.0253238662554989,-0.7903553304902499,-0.5278639060170097,0.2746633840858215
